,0
4780,4781
4789,4790
4802,4803
5068,5069
5083,5084
5101,5102
5167,5168
4686,4686
4781,4781
4783,4783
4784,4784
4785,4785
4786,4786
4787,4786
4788,4788
4790,4790
4791,4790
4801,4801
4803,4803
5065,5065
5066,5066
5067,5066
5069,5069
5070,5070
5071,5070
5073,5073
5074,5082
5075,5082
5081,5081
5082,5082
5084,5084
5085,5085
5097,5097
5098,7467
5099,5099
5100,5100
5102,5102
5103,7422
5104,8295
5107,5107
5108,5108
5109,7953
5153,5153
5154,5153
5156,7421
5157,8710
5163,5164
5164,5164
5165,5165
5166,5166
5168,5168
5169,5164
5180,4803
5181,4803
7024,5069
7323,7323
7421,7421
7422,7422
7467,7467
7952,7952
7953,7953
8149,8149
8295,8295
8632,5082
8710,8710
