id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
0,Doel,Nuclear,OCGT,PP,BE,2911.0,,0.0,0.0,0.0,0.0,1975,1975.0,2022,51.31059759999999,4.264974899999999,"{'22WDOELX2000077N', '22WDOELX1000076X', '22WDOELX3000078D', '22WDOELX40000793'}","{'ENTSOE': {'22WDOELX2000077N', '22WDOELX1000076X', '22WDOELX3000078D', '22WDOELX40000793'}, 'OPSD': {'OEU-15', 'OEU-13', 'OEU-14', 'OEU-12'}, 'WIKIPEDIA': {'WIKIPEDIA-4', 'WIKIPEDIA-1', 'WIKIPEDIA-2', 'WIKIPEDIA-3'}, 'GEO': {'GEO-2948'}, 'GPD': {'WRI1002223'}}",5097
55,Tihange,Nuclear,OCGT,PP,BE,3008.0,,0.0,0.0,0.0,0.0,1975,1975.0,2023,50.52969909999999,5.2614551,"{'22WTIHANG000239G', '22WTIHANG000241T', '22WTIHANG000242R', '22WTIHANG000240V'}","{'ENTSOE': {'22WTIHANG000242R', '22WTIHANG000239G', '22WTIHANG000240V', '22WTIHANG000241T'}, 'OPSD': {'OEU-39', 'OEU-42', 'OEU-40', 'OEU-41'}, 'WIKIPEDIA': {'WIKIPEDIA-5', 'WIKIPEDIA-6', 'WIKIPEDIA-7'}, 'GEO': {'GEO-5724'}, 'GPD': {'WRI1002275', 'WRI1002277'}}",5164
125,Coo,Hydro,Pumped Storage,Store,BE,690.0,,0.0,0.0,0.0,0.0,1969,1969.0,2069,50.39343,5.86944,{'22WCOOXII000070C'},"{'ENTSOE': {'22WCOOXII000070C'}, 'OPSD': {'OEU-10', 'OEU-11'}, 'JRC': {'JRC-H9'}, 'GEO': {'GEO-41951'}, 'GPD': {'WRI1002221'}}",4786
126,Plate Taille,Hydro,Pumped Storage,Store,BE,144.0,,0.0,0.0,0.0,0.0,1981,1981.0,2081,50.1857528,4.3823302,{'22WPLATEX000208N'},"{'ENTSOE': {'22WPLATEX000208N'}, 'OPSD': {'OEU-63'}, 'JRC': {'JRC-H347'}, 'GEO': {'GEO-41971'}, 'GPD': {'WRI1002263'}}",5154
164,Amercoeur Tgv,CCGT,CCGT,PP,BE,451.0,0.1877647058823529,0.0,0.0,0.0,0.0,2010,2010.0,2050,50.6362947,5.5917374,{'22WAMERCO000010Y'},"{'ENTSOE': {'22WAMERCO000010Y'}, 'OPSD': {'OEU-4'}, 'GEO': {'GEO-41970', 'GEO-41947'}, 'GPD': {'WRI1002207'}}",5166
227,Zelzate Knippegroen,CCGT,CCGT,PP,BE,315.0,,0.0,0.0,0.0,0.0,2010,2010.0,2050,51.1569454,3.8127843,{'22WZELZAT0002618'},"{'ENTSOE': {'22WZELZAT0002618'}, 'OPSD': {'OEU-53'}, 'GEO': {'GEO-41973'}, 'GPD': {'WRI1002288'}}",5081
228,Rodenhuize,Bioenergy,OCGT,PP,BE,268.0,,0.0,0.0,0.0,0.0,2005,2005.0,2025,51.14727999999999,3.79202,{'22WRODENH000213L'},"{'ENTSOE': {'22WRODENH000213L'}, 'OPSD': {'OEU-33'}, 'GEO': {'GEO-41956'}, 'GPD': {'WRI1002265'}}",5081
229,Beringen,CCGT,CCGT,PP,BE,422.0,,0.0,0.0,0.0,0.0,1994,1994.0,2034,51.05784550000001,5.104374099999999,{'22WT-POWE000244W'},"{'ENTSOE': {'22WT-POWE000244W'}, 'OPSD': {'OEU-90'}, 'GEO': {'GEO-41967'}, 'GPD': {'WRI1002271'}}",5108
230,Drogenbos Tgv,CCGT,CCGT,PP,BE,465.0,,0.0,0.0,0.0,0.0,2002,2002.0,2042,50.7872348,4.3172707,{'22WDROGEN0000863'},"{'ENTSOE': {'22WDROGEN0000863'}, 'OPSD': {'OEU-19', 'OEU-18'}, 'GEO': {'GEO-41953'}, 'GPD': {'WRI1002225', 'WRI1002226'}}",5103
382,Hu Ivoz Ramet,Hydro,Run-Of-River,PP,BE,10.0,,0.0,0.0,0.0,0.0,1954,1954.0,2054,50.59349,5.46137,{nan},"{'OPSD': {'OEU-80'}, 'JRC': {'JRC-H1765'}, 'GEO': {'GEO-42006'}, 'GPD': {'WRI1002240'}}",5166
383,Hu Lixhe,Hydro,Run-Of-River,PP,BE,20.0,,0.0,0.0,0.0,0.0,1980,1980.0,2080,50.75178,5.6878,{nan},"{'OPSD': {'OEU-81'}, 'JRC': {'JRC-H1607'}, 'GEO': {'GEO-42007'}, 'GPD': {'WRI1002241'}}",4780
384,Hu Monsin,Hydro,Run-Of-River,PP,BE,19.7,,0.0,0.0,0.0,0.0,1954,1954.0,2054,50.65317,5.63137,{nan},"{'OPSD': {'OEU-82'}, 'JRC': {'JRC-H1610'}, 'GEO': {'GEO-42005'}, 'GPD': {'WRI1002242'}}",4780
443,La Vierre,Hydro,Reservoir,Store,BE,1.9,,0.0,0.0,0.0,0.0,1962,1962.0,2062,49.733,5.377,{nan},"{'OPSD': {'OEU-23'}, 'JRC': {'JRC-H2224'}, 'GEO': {'GEO-42010'}, 'GPD': {'WRI1002250'}}",5180
444,Hu Grand Malades,Hydro,Run-Of-River,PP,BE,5.0,,0.0,0.0,0.0,0.0,1988,1988.0,2088,50.46595,4.89928,{nan},"{'OPSD': {'OEU-79'}, 'JRC': {'JRC-H2092'}, 'GEO': {'GEO-42001'}, 'GPD': {'WRI1002239'}}",5157
445,Butgenbach,Hydro,Reservoir,Store,BE,1.8,,0.0,0.0,0.0,0.0,1932,1932.0,2032,50.4359,6.2106,{nan},"{'OPSD': {'OEU-8'}, 'JRC': {'JRC-H2227'}, 'GEO': {'GEO-42012'}, 'GPD': {'WRI1002218'}}",4787
446,Hu Andenne,Hydro,Run-Of-River,PP,BE,9.0,,0.0,0.0,0.0,0.0,1980,1980.0,2080,50.49179,5.06975,{nan},"{'OPSD': {'OEU-77'}, 'JRC': {'JRC-H1922'}, 'GEO': {'GEO-42002'}, 'GPD': {'WRI1002237'}}",5163
